ConstructName,SubjectName,QuestionText,AnswerText,MisconceptionText,CorrectAnswerText,MisconceptionID
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.56 to a percentage,5.6%,Does not understand a percentage is out of 100,56%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.0000000000000000005 to a percentage,0.00000000005%,Multiplies by 10 instead of 100 when converting decimal to percentage,0.00000000000000005%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 6 \\
\hline 1 & 5 \\
\hline 2 & 7 \\
\hline 3 & 7 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1 and 3,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 13cm and perpendicular height 15cm.](),28cm²,Adds when calculating area instead of multiplying,195cm²,828
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,The area of this trapezium is 35cm². What is the value of a? ![A trapezium with the parallel sides labelled with 5cm and a and the height labelled with 7cm](),10cm,Does not divide by 2 when calculating the area of a trapezium,5cm,2353
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=12x-2. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 22 \) \\
\end{tabular}]()",12,Mixes up the value of two terms when substituting,10,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular hexagon](),3,Does not know how to find order of rotational symmetry,6,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 11 equal sections labelled 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 and 11.]()",1,Does not understand that a probability of 1 represents something that is certain,11,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.69 to a percentage,6.9%,Does not understand a percentage is out of 100,69%,329
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base 5cm and height 8cm],13 sq cm,Adds when calculating area instead of multiplying,40 sq cm,828
"Solve one-step linear equations requiring multiplication or division, involving positive decimals",Linear Equations,Solve the equation: 0.45 = 0.3p,p = 0.15,"When solving an equation, uses the same operation rather than the inverse.",p = 1.5,1214
Calculate the volume of a cuboid where the dimensions are given in the same units,Volume of Prisms,"What is the volume of this cuboid? ![A cuboid with dimensions 10cm, 4cm and 5cm]",19 cu cm,Adds when calculating volume instead of multiplying,200 cu cm,1984
Continue linear sequences expressed as patterns by drawing the next pattern,Linear Sequences (nth term),"What is the next pattern in this linear sequence? ![A sequence of 4 patterns. Each pattern is made up of a set of 3 adjacent squares, stacked vertically. Each pattern has one extra set of three adjacent squares, one on top of the other, added to the left hand side of the previous pattern.]()","![A pattern made from 12 squares. It is three 3 by 4 rectangles stacked vertically, with the highest one slightly to the right.]()",Does not notice all changes in a sequence of visual patterns,"![A pattern made from 9 squares. It is three sets of three squares stacked vertically, one next to the other.]()",1055
Find 100 more than a given number,Place Value,"What is 100 more than 325,076?","326,076",When adding powers of 10 adds onto the wrong column,"325,176",1533
Express a division as a fraction,Converting Mixed Number and Improper Fractions,What is 7 divided by 11 written as a fraction?,1/11,Mixes up the numerator and denominator when writing a division as a fraction,7/11,652
Divide integers of 3 or more digits using long division,Written Division,What is 721 divided by 3?,241,"When solving a problem using written division (bus-stop method), carries the wrong digit",240 remainder 1,1378
"Given a positive y value, find an x value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is a part of the table of values for the equation
\[y=2 x+4\] \begin{tabular}{|c|c|}
\hline\( x \) & \( \bigstar \) \\
\hline\( y \) & \( 10 \) \\
\hline
\end{tabular} What should replace the star?",14,"When solving an equation, uses the same operation rather than the inverse.",3,1214
Identify the net of a non-prism,Nets,Which diagram is the net for a square based pyramid?,"![Net showing two squares and four triangles, but they are not correctly joined up to make a net.]()",Struggles to visualise nets of 3D shapes,![Net showing a square and four triangles](),690
"Solve one-step linear equations requiring addition or subtraction, involving positive fractions",Linear Equations,Solve the equation: \( p-\frac{1}{4}=\frac{2}{5} \),\( p=\frac{3}{20} \),"When subtracting fractions, subtracts the numerators and denominators",\( p=\frac{13}{20} \),172
Convert from hours to minutes,Time,3.1 hours is the same as _____ minutes,310 minutes,Answers as if there are 100 minutes in an hour when changing from hours to minutes,186 minutes,161
"Given a sketch of a quadratic graph, f(x), write down the solutions to f(x) = a",Quadratic Equations,"According to the graph, what is the solution to
\(x^{2}-x-6=0\) ![A set of axes with the quadratic graph y=x^2-x-6 drawn on.]()",\( x=2 \) or \( x=3 \),Finds the y intercept when asked to read the solution to a quadratic equation from a graph,\( x=-2 \) or \( x=3 \),379
"Given a positive x value, find the corresponding y value for curves in the form y = x² + bx + c",Plotting Quadratics from Tables of Values,"\begin{tabular}{llll|l|l}
\( x \) & \( -1 \) & \( 0 \) & \( 1 \) & \( 2 \) & \( 3 \) \\
\hline\( y \) & \( \bigstar \) &  &  \( 3 \)  
\end{tabular} This is a table of values for \( y=x^{2}-x+3 \) What should replace the star?",\( 3 \),"When a subtraction of one positive number from another, results in a negative answer, they believe the answer is the sum of those 2 numbers with a negative sign put in front.",\( 5 \),2167
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is \( 60 \mathrm{~m} \) as a percentage of \( 2 \mathrm{~km} \) ?,\( 300 \% \),Does not understand a percentage is out of 100,\( 3 \% \),329
Convert decimals less than 1 with 2 decimal place to percentages,Converting between Decimals and Percentages,"Convert this decimal to a percentage
\(
0.07
\)",\( 0.7 \% \),Does not understand a percentage is out of 100,\( 7 \% \),329
"Solve one-step linear equations requiring addition or subtraction, involving positive integers",Linear Equations,Solve the equation: x + 5 = 12,x = 17,"When solving an equation, uses the same operation rather than the inverse.",x = 7,1214
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with width 7cm and height 3cm],10 sq cm,Adds when calculating area instead of multiplying,21 sq cm,828
Calculate the perimeter of a rectangle where the dimensions are given in the same units,Perimeter,What is the perimeter of this rectangle? ![A rectangle with width 7cm and height 3cm],10 cm,"When calculating perimeter, only adds two sides",20 cm,1446
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 10 as a percentage of 50?,2%,Does not understand a percentage is out of 100,20%,329
Convert single digit integer percentages to fractions,Converting between Fractions and Percentages,Write 5% as a fraction,1/5,Does not understand a percentage is out of 100,1/20,329
Round integers to the nearest 10,"Rounding to the Nearest Whole (10, 100, etc)",What is 637 rounded to the nearest 10?,637,Believes that rounding must change the number,640,322
Convert between cm and mm,Length Units,How many mm are there in 4cm?,0.4mm,Divides when converting to a smaller unit,40mm,1954
Add proper fractions with the same denominator,Adding and Subtracting Fractions,What is 2/5 + 1/5?,3/10,"When adding fractions, adds the numerators and denominators",3/5,217
"Solve one-step linear equations requiring multiplication or division, involving positive fractions",Linear Equations,Solve the equation: (1/2)x = 10,x = 5,"When solving an equation, uses the same operation rather than the inverse.",x = 20,1214
Identify the regions on a double Venn diagram given in set notation,Venn Diagrams,Which element(s) belong to the set: A' ∩ B? ![A Venn diagram with two overlapping circles labeled A and B.  Elements are placed within the regions: A only has 2; B only has 5; the overlap has 3; and outside both is 1.](),"2, 5, 1",Does not understand set notation for complement (eg. A'),5,564
Calculate the area of a triangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this triangle? ![Right-angled triangle with base 6cm and height 10cm],60 sq cm,Does not divide by 2 when calculating the area of a triangle,30 sq cm,159
Express one quantity as a fraction of another,Fractions of an Amount,"What fraction of this shape is shaded? ![A shape divided into 8 equal parts, with 3 shaded]",8/3,Writes the numerator and the denominator the wrong way round in a probability,3/8,289
"Solve one-step linear equations requiring addition or subtraction, involving negative integers",Linear Equations,Solve the equation: y - 8 = -11,y = 3,"When solving an equation, uses the same operation rather than the inverse.",y = -3,1214
Convert between m and km,Length Units,How many km are there in 4500m?,45km,Multiplies when converting to a larger unit,4.5km,1651
Convert between cm and mm,Length Units,How many mm are there in 1.5 cm?,1500mm,Divides when converting to a smaller unit,15mm,1954
Calculate the perimeter of a rectangle where the dimensions are given in different units,Perimeter,What is the perimeter of this rectangle? ![A rectangle with width 10cm and height 40mm],180 mm,Does not convert measurements to have the same units before calculating area or volume,280mm,877
Round decimals to one decimal place,Rounding to Decimal Places,What is 17.68 rounded to one decimal place?,17.78,Rounds incorrectly by changing multiple place values,17.7,2330
Calculate the mean from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of goals scored in 20 hockey matches. Calculate the mean number of goals scored per match. 
![\begin{tabular}{|c|c|}
\hline Goals & Frequency \\
\hline 0 & 3 \\
\hline 1 & 5 \\
\hline 2 & 7 \\
\hline 3 & 5 \\
\hline
\end{tabular}]()",1.75,Believes mean is total divided by number of groups,1.65,650
Identify a unit of volume or capacity,Volume and Capacity Units,Which of the following is a unit of volume?,mm,Does not recognise a unit of volume,cm³,441
"Solve two-step linear equations, with the variable on one side, involving positive integers",Linear Equations,Solve the equation: 3x + 6 = 18,x = 6,"When solving an equation, uses the same operation rather than the inverse.",x = 4,1214
Identify a unit of area,Area of Simple Shapes,Which of the following is a unit of area?,cm,Does not know units of area should be squared,cm²,686
Identify multiples of a number,Multiples and Lowest Common Multiple,Which of the following is a multiple of 12?,24,Does not understand the term multiple,36,24
Add proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 1/3 + 2/6?,3/9,Does not understand how to maintain equivalence in fractions,2/3,1206
Round decimals to the nearest whole number,"Rounding to the Nearest Whole (10, 100, etc)",What is 5.6 rounded to the nearest whole number?,5,Rounds down instead of up,6,1988
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,What is 0.75 written as a percentage?,750%,Multiplies by 1000 instead of 100 when converting a decimal to a percentage,75%,39
Calculate the median as an average from an odd numbered list of data,"Averages (mean, median, mode) from a List of Data","What is the median of these numbers: 2, 5, 8, 11, 15?",8.5,"When finding the median for an odd numbered data set, find the midpoint of two values rather than giving the middle value",8,461
Calculate the volume of a cuboid when the dimensions are given in the same units,Volume of Prisms,"What is the volume of this cuboid? ![Cuboid with dimensions 2cm, 4cm, 6cm]",12 cu cm,Adds instead of multiplies when calculating total frequency,48 cu cm,932
"Solve one-step linear equations requiring addition or subtraction, involving positive integers",Linear Equations,Solve the equation: x + 8 = 15,x = 23,"When solving an equation, uses the same operation rather than the inverse.",x = 7,1214
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 6a = 42,a = 6,"When solving an equation, uses the same operation rather than the inverse.",a = 7,1214
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with base 12cm and height 5cm],17 sq cm,Adds when calculating area instead of multiplying,60 sq cm,828
Calculate the perimeter of a rectangle where the dimensions are given in the same units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 9cm and height 4cm],13cm,"When calculating perimeter, only adds two sides",26cm,1446
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 20 as a percentage of 80?,40%,Does not understand a percentage is out of 100,25%,329
Convert single digit integer percentages to fractions,Converting between Fractions and Percentages,Write 20% as a fraction,1/20,Does not understand a percentage is out of 100,1/5,329
Round integers to the nearest 100,"Rounding to the Nearest Whole (10, 100, etc)",What is 345 rounded to the nearest 100?,345,Believes that rounding must change the number,300,322
Convert between m and km,Length Units,How many km are there in 7500m?,75km,Multiplies when converting to a larger unit,7.5km,1651
Add proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 1/4 + 1/2?,2/6,Does not understand how to maintain equivalence in fractions,3/4,1206
Round decimals to two decimal places,Rounding to Decimal Places,What is 3.14159 rounded to two decimal places?,3.141,Rounds incorrectly by changing multiple place values,3.14,2330
"Solve one-step linear equations requiring addition or subtraction, involving negative integers",Linear Equations,Solve the equation: a - 3 = -5,a = 8,"When solving an equation, uses the same operation rather than the inverse.",a = -2,1214
Calculate the area of a triangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this triangle? ![Triangle with base 10cm and height 6cm],16 sq cm,Does not divide by 2 when calculating the area of a triangle,30 sq cm,159
Calculate the perimeter of a rectangle where the dimensions are given in different units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 10cm and height 50mm],250mm,Does not convert measurements to have the same units before calculating area or volume,300mm,877
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 5 as a percentage of 25?,5%,Does not understand a percentage is out of 100,20%,329
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 35% as a decimal?,3.5,Does not understand a percentage is out of 100,0.35,329
Round integers to the nearest 1000,"Rounding to the Nearest Whole (10, 100, etc)",What is 1637 rounded to the nearest 1000?,1637,Believes that rounding must change the number,2000,322
Convert between m and km,Length Units,How many m are there in 2.5km?,25m,Divides when converting to a smaller unit,2500m,1954
Subtract proper fractions with the same denominator,Adding and Subtracting Fractions,What is 5/8 - 3/8?,2/8,Does not fully simplify fraction,1/4,1825
"Solve one-step linear equations requiring multiplication or division, involving negative decimals",Linear Equations,Solve the equation: -2.5c = 5,c = 2.5,"When solving an equation, uses the same operation rather than the inverse.",c = -2,1214
"Solve one-step linear equations requiring multiplication or division, involving negative decimals",Linear Equations,Solve the equation: -3.2d = 16,d = 5,Believes dividing a negative by a positive gives a positive answer,d = -5,34
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 25 as a percentage of 100?,2.5%,Does not understand a percentage is out of 100,25%,329
Convert two-digit integer percentages to fractions,Converting between Fractions and Percentages,What is 75% as a fraction?,75/100,Does not fully simplify fraction,3/4,1825
Round decimals to three decimal places,Rounding to Decimal Places,What is 7.65432 rounded to three decimal places?,7.6543,Rounds incorrectly by changing multiple place values,7.654,2330
Convert between cm and mm,Length Units,How many cm are there in 30mm?,300cm,Multiplies when converting to a larger unit,3cm,1651
Convert between m and km,Length Units,How many m are there in 0.8km?,8m,Divides when converting to a smaller unit,800m,1954
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 7/8 - 1/4?,6/4,"When subtracting fractions, subtracts the numerators and denominators",5/8,172
Calculate the mean from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of goals scored in 10 football matches. Calculate the mean number of goals scored per match.
![\begin{tabular}{|c|c|}
\hline Goals & Frequency \\
\hline 0 & 2 \\
\hline 1 & 4 \\
\hline 2 & 3 \\
\hline 3 & 1 \\
\hline
\end{tabular}]()",2,Believes mean is total divided by number of groups,1.2,650
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 8% as a decimal?,0.8,Does not understand a percentage is out of 100,0.08,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 4.567 rounded to one decimal place?,4.56,Rounds incorrectly by changing multiple place values,4.6,2330
Convert between cm and mm,Length Units,How many mm are there in 12cm?,0.12mm,Divides when converting to a smaller unit,120mm,1954
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 2/3 - 1/6?,1/3,"When subtracting fractions, subtracts the numerators and denominators",1/2,172
Calculate the median from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by 20 students. Calculate the median number of pets owned.
![\begin{tabular}{|c|c|}
\hline Pets & Frequency \\
\hline 0 & 4 \\
\hline 1 & 6 \\
\hline 2 & 7 \\
\hline 3 & 3 \\
\hline
\end{tabular}]()",2,"Believes the median is the middle category in a table, ignoring the frequencies",1,2391
"Solve one-step linear equations requiring addition or subtraction, involving positive decimals",Linear Equations,Solve the equation: y - 1.8 = 5.2,y = 3.4,"When solving an equation, uses the same operation rather than the inverse.",y = 7,1214
"Solve one-step linear equations requiring multiplication or division, involving positive fractions",Linear Equations,Solve the equation: (3/4)a = 9,a = 3,"When solving an equation, uses the same operation rather than the inverse.",a = 12,1214
Calculate the area of a rectangle where the dimensions are given in different units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 7cm and height 20mm],140 sq cm,Does not convert measurements to have the same units before calculating area or volume,14 sq cm,877
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 15 as a percentage of 60?,40%,Does not understand a percentage is out of 100,25%,329
Round decimals to two decimal places,Rounding to Decimal Places,What is 8.7654 rounded to two decimal places?,8.765,Rounds incorrectly by changing multiple place values,8.77,2330
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 5/6 - 1/3?,4/3,"When subtracting fractions, subtracts the numerators and denominators",3/6,172
Calculate the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by 20 students. What is the mode? 
![\begin{tabular}{|c|c|}
\hline Pets & Frequency \\
\hline 0 & 4 \\
\hline 1 & 6 \\
\hline 2 & 7 \\
\hline 3 & 3 \\
\hline
\end{tabular}]()",3,Believes the mode is the frequency rather than the value/group,2,1364
"Solve one-step linear equations requiring multiplication or division, involving negative fractions",Linear Equations,Solve the equation: -(1/5)a = 2,a = 10,Believes dividing a negative by a positive gives a positive answer,a = -10,34
Calculate the perimeter of a rectangle where the dimensions are given in the same units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 11cm and height 7cm],18cm,"When calculating perimeter, only adds two sides",36cm,1446
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 30 as a percentage of 150?,5%,Does not understand a percentage is out of 100,20%,329
Convert two-digit integer percentages to fractions,Converting between Fractions and Percentages,What is 40% as a fraction?,40/100,Does not fully simplify fraction,2/5,1825
Round decimals to three decimal places,Rounding to Decimal Places,What is 2.34567 rounded to three decimal places?,2.3456,Rounds incorrectly by changing multiple place values,2.346,2330
Convert between cm and mm,Length Units,How many mm are there in 5.2cm?,0.52mm,Divides when converting to a smaller unit,52mm,1954
Convert between m and km,Length Units,How many km are there in 350m?,3.5km,Multiplies when converting to a larger unit,0.35km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 2/5 - 1/10?,1/5,"When subtracting fractions, subtracts the numerators and denominators",3/10,172
"Solve one-step linear equations requiring addition or subtraction, involving negative decimals",Linear Equations,Solve the equation: p - 3.7 = 2.3,p = 1.4,"When solving an equation, uses the same operation rather than the inverse.",p = 6,1214
Calculate the area of a triangle where the dimensions are given in different units,Area of Simple Shapes,What is the area of this triangle? ![Triangle with base 5cm and height 0.1m],0.5 sq cm,Does not convert measurements to have the same units before calculating area or volume,25 sq cm,877
Calculate the perimeter of a rectangle where the dimensions are given in the same units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 6cm and height 11cm],17cm,"When calculating perimeter, only adds two sides",34cm,1446
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 65% as a decimal?,6.5,Does not understand a percentage is out of 100,0.65,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 9.876 rounded to one decimal place?,9.87,Rounds incorrectly by changing multiple place values,9.9,2330
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 3/4 - 1/8?,2/4,"When subtracting fractions, subtracts the numerators and denominators",5/8,172
Calculate the mode from a list of data,"Averages (mean, median, mode) from a List of Data","What is the mode of these numbers: 2, 5, 2, 8, 11, 2, 15?","2, 5, 8, 11, 15",Believes every number is the mode when you have data with no mode,2,2152
"Solve one-step linear equations requiring addition or subtraction, involving positive fractions",Linear Equations,Solve the equation: a + 2/5 = 7/10,a = 7/10,"When solving an equation, uses the same operation rather than the inverse.",a = 3/10,1214
"Solve one-step linear equations requiring multiplication or division, involving negative fractions",Linear Equations,Solve the equation: -(2/7)b = 4,b = 14,Believes dividing a negative by a positive gives a positive answer,b = -14,34
Calculate the area of a rectangle where the dimensions are given in different units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 0.1m and height 6cm],6 sq cm,Does not convert measurements to have the same units before calculating area or volume,60 sq cm,877
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 95% as a decimal?,9.5,Does not understand a percentage is out of 100,0.95,329
Round decimals to two decimal places,Rounding to Decimal Places,What is 1.2345 rounded to two decimal places?,1.234,Rounds incorrectly by changing multiple place values,1.23,2330
Convert between cm and mm,Length Units,How many mm are there in 7.8cm?,7800mm,Divides when converting to a smaller unit,78mm,1954
Convert between m and km,Length Units,How many m are there in 0.05km?,5m,Divides when converting to a smaller unit,50m,1954
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 1/2 - 1/6?,1/6,"When subtracting fractions, subtracts the numerators and denominators",2/6,172
"Solve one-step linear equations requiring addition or subtraction, involving negative fractions",Linear Equations,Solve the equation: y - (1/3) = (2/3),y = 1/3,"When solving an equation, uses the same operation rather than the inverse.",y = 1,1214
"Solve one-step linear equations requiring multiplication or division, involving positive decimals",Linear Equations,Solve the equation: 0.8x = 16,x = 2,"When solving an equation, uses the same operation rather than the inverse.",x = 20,1214
Calculate the area of a triangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this triangle? ![Triangle with base 8cm and height 7cm],15 sq cm,Does not divide by 2 when calculating the area of a triangle,28 sq cm,159
Calculate the perimeter of a rectangle where the dimensions are given in different units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 6cm and height 0.03m],12cm,Does not convert measurements to have the same units before calculating area or volume,18cm,877
Convert two-digit integer percentages to fractions,Converting between Fractions and Percentages,What is 60% as a fraction?,60/100,Does not fully simplify fraction,3/5,1825
Round decimals to one decimal place,Rounding to Decimal Places,What is 3.456 rounded to one decimal place?,3.45,Rounds incorrectly by changing multiple place values,3.5,2330
Convert between m and km,Length Units,How many m are there in 0.02km?,2m,Divides when converting to a smaller unit,20m,1954
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 7/12 - 1/4?,6/8,"When subtracting fractions, subtracts the numerators and denominators",1/3,172
"Solve one-step linear equations requiring addition or subtraction, involving positive integers",Linear Equations,Solve the equation: x - 12 = 15,x = 3,"When solving an equation, uses the same operation rather than the inverse.",x = 27,1214
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 7b = 63,b = 8,"When solving an equation, uses the same operation rather than the inverse.",b = 9,1214
Calculate the area of a rectangle where the dimensions are given in different units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 0.06m and height 5cm],3 sq cm,Does not convert measurements to have the same units before calculating area or volume,30 sq cm,877
Calculate the perimeter of a rectangle where the dimensions are given in the same units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 8cm and height 5cm],13cm,"When calculating perimeter, only adds two sides",26cm,1446
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 15% as a decimal?,1.5,Does not understand a percentage is out of 100,0.15,329
Round decimals to two decimal places,Rounding to Decimal Places,What is 6.789 rounded to two decimal places?,6.789,Believes that rounding must change the number,6.79,322
Convert between cm and mm,Length Units,How many mm are there in 3.5cm?,3500mm,Divides when converting to a smaller unit,35mm,1954
Convert between m and km,Length Units,How many km are there in 2500m?,250km,Multiplies when converting to a larger unit,2.5km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 5/12 - 1/6?,4/6,"When subtracting fractions, subtracts the numerators and denominators",3/12,172
"Solve one-step linear equations requiring addition or subtraction, involving negative decimals",Linear Equations,Solve the equation: m + (-2.5) = 4.5,m = 2,"When solving an equation, uses the same operation rather than the inverse.",m = 7,1214
"Solve one-step linear equations requiring multiplication or division, involving negative fractions",Linear Equations,Solve the equation: -(1/2)x = -3,x = -6,Believes dividing a negative by a negative gives a negative answer,x = 6,1400
Calculate the perimeter of a rectangle where the dimensions are given in the same units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 4cm and height 9cm],13cm,"When calculating perimeter, only adds two sides",26cm,1446
Convert two-digit integer percentages to fractions,Converting between Fractions and Percentages,What is 70% as a fraction?,7/100,Does not understand a percentage is out of 100,7/10,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 12.345 rounded to one decimal place?,12.34,Rounds incorrectly by changing multiple place values,12.3,2330
Convert between cm and mm,Length Units,How many mm are there in 9.1cm?,9100mm,Divides when converting to a smaller unit,91mm,1954
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 5/6 - 1/2?,4/4,"When subtracting fractions, subtracts the numerators and denominators",1/3,172
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 5a = 35,a = 6,"When solving an equation, uses the same operation rather than the inverse.",a = 7,1214
Calculate the area of a rectangle where the dimensions are given in different units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 0.07m and height 5cm],3.5 sq cm,Does not convert measurements to have the same units before calculating area or volume,35 sq cm,877
Calculate the perimeter of a rectangle where the dimensions are given in the same units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 5cm and height 12cm],17cm,"When calculating perimeter, only adds two sides",34cm,1446
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 20 as a percentage of 100?,2%,Does not understand a percentage is out of 100,20%,329
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 25% as a decimal?,2.5,Does not understand a percentage is out of 100,0.25,329
Round decimals to two decimal places,Rounding to Decimal Places,What is 4.567 rounded to two decimal places?,4.567,Believes that rounding must change the number,4.57,322
Convert between cm and mm,Length Units,How many mm are there in 6.1cm?,6100mm,Divides when converting to a smaller unit,61mm,1954
Convert between m and km,Length Units,How many km are there in 4000m?,400km,Multiplies when converting to a larger unit,4km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 3/5 - 1/10?,2/5,"When subtracting fractions, subtracts the numerators and denominators",1/2,172
"Solve one-step linear equations requiring addition or subtraction, involving negative integers",Linear Equations,Solve the equation: x - 5 = -12,x = 7,"When solving an equation, uses the same operation rather than the inverse.",x = -7,1214
"Solve one-step linear equations requiring multiplication or division, involving positive decimals",Linear Equations,Solve the equation: 1.2y = 24,y = 12,"When solving an equation, uses the same operation rather than the inverse.",y = 20,1214
Calculate the area of a rectangle where the dimensions are given in different units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 1.2m and height 0.05m],6 sq m,Does not convert measurements to have the same units before calculating area or volume,0.06 sq m,877
Calculate the perimeter of a rectangle where the dimensions are given in the same units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 7cm and height 11cm],18cm,"When calculating perimeter, only adds two sides",36cm,1446
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 30% as a decimal?,3,Does not understand a percentage is out of 100,0.3,329
Round decimals to three decimal places,Rounding to Decimal Places,What is 5.6789 rounded to three decimal places?,5.678,Rounds incorrectly by changing multiple place values,5.679,2330
Convert between cm and mm,Length Units,How many mm are there in 2.7cm?,2700mm,Divides when converting to a smaller unit,27mm,1954
Convert between m and km,Length Units,How many km are there in 8000m?,80km,Multiplies when converting to a larger unit,8km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 11/12 - 1/3?,10/9,"When subtracting fractions, subtracts the numerators and denominators",7/12,172
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 9cm and height 6cm],15 sq cm,Adds when calculating area instead of multiplying,54 sq cm,828
Calculate the perimeter of a rectangle where the dimensions are given in different units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 0.1m and height 7cm],17cm,Does not convert measurements to have the same units before calculating area or volume,34cm,877
